MAXDEPTH
15
15
12
7
25
12
15
13
15
25
25
11
10
6
25
10
10
10
9
8
18
10
9
12
13
25
18
12
12
11
6
11
9
13
11
12
12
19
19
16.5
11.5
15
16
15
18
12
12
15
10
15
20
18
12
12
18
15
12
20
15
15
15
10
15
15
15
15
20
19
18
18
12
15
25
25
15
10
15
15
12
15
15
12
12
12
12
15
15
12
15
12
15
25
12
20
15
10
14.5
25
25
25
25
25
18
18
18
18
14.5
20.5
14.5
20.5
20.5
20.5
20.5
20.5
14.5
14.5
14.5
10
10
10
10
9
8
10
10
10.5
11
11
13
13
8
10.5
6
7
7
15
12.5
14.5
17.5
13.5
15
17
15
12
16
15
13
11.5
14
14
14
17
17
15
14
15
14
14
16
18
15
14
16
12
15
15
14
12
13.5
13
12.5
13
13
13.5
12.5
12.5
13
13
13
11
10.5
10
11
10
10
9.5
8.5
12
13
11.5
12.5
13
13.5
11.5
12
12
13
13.5
12.5
10
13
13
12
12
12
13.5
12.5
12
11
12.5
12
12
20
25
20
25
16
17
18
15
13
12
11
20
12
18
15
18
15
12
20
15
10
12
11
12
12
18
18
15
15
20
17
11
18
15
12
12
12
20
16
16
16
8
9
25
22.5
22
10
6.5
6.5
8
10
8
8
14
18
10
13
23
8
12
9
10
10
14
14.5
10
22
14
10
7
7
7.5
10
14
23
15
8
12
7
14
5
25
6.5
7
10
8
8
10
10
8
10
8
11
6.5
12
7
25
25
20
9
11
7
18
5.5
7
8
9
15
25
4
7
9
14
20
10
25
18
8
12
13
11
10
16
11
12
23
12
12
12
12
12
15
20
15
12
14
16
25
12
12
12
12
8
25
18
13
15
12
13
15
13
13
13
12
12
6
15
12
15
25
10
12
13
11
15
12
15
12
15
15
15
15
18
15
12
15
15
15
15
15
15
15
10
14
7
12
9
15
10
14
10
10
10
10
10
10
14
14
14
10
12
12
10
10
10
10
10
10
18
10
13
13
12
15
15
15
15
15
10
12
9.5
12.5
12.5
12.5
12.5
9.5
9.5
15
15
15
15
16
16
20
16
15.5
16
13
19
24.5
22
22
22
11
11
11
11
10.5
10.5
10.5
10.5
10.5
11
11
11
11
11.5
11
11
11.5
12
11
11
12
12
12
15
30
14
14
18
17
15
16
14.5
13
15
15
14
14
14.5
13
15
14.5
15
15
15
15
13
12.5
12.5
13
13
13
13
13
12
14.5
16
15.5
13
14.5
11.5
11.5
11.5
12.5
12
11.5
12
12
10.5
11.5
11.5
16
15
15
15
10
15
12
18
18
18
28.5
28.5
28.5
15
10
15
10
11
12
10
10
12
18
18
15
15
18
18
16
18
18
18
18
15
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
20
20
20
20
20
20
20
20
20
20
20
18
18
20
20
20
18
20
20
20
20
18
18
20
20
20
20
20
20
10
20
20
20
20
20
20
20
20
20
18
20
15
20
20
20
20
20
20
20
20
20
15
20
20
20
20
20
20
15
15
12
20
20
20
20
15
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
10
18
18
18
18
16
10
16
16
15
15
15
15
15
15
15
13
15
15
15
15
15
15
15
15
15
10
10
10
10
10
10
8
10
12
12
10
8
8
10
10
15
15
15
12
12
12
15
15
15
15
15
12
12
15
15
15
15
15
15
15
12
12
15
10
10
10
10
15
15
15
15
15
15
15
15
13
13
13
15
13
13
13
13
14
14
14
8
15
14
5
15
15
15
8
14
14
14
8
14
14
14
14
14
7
14
14
14
4
14
15
15
4
14
15
15
13
13
8
10
10
13
10
12
12
12
20
13
13
13
13
13
6
12
12
25
25
25
25
25
24
20
25
30
13
13
6
13
13
13
13
13
13
13
12
13
13
13
13
13
13
20
18
18
18
18
18
18
18
15
8
15
8
15
8
13
13
30
13
13
13
13
13
13
13
13
13
13
13
13
13
13
18
14
14
14
14
14
12
12
20
15
6
18
15
15
18
13.5
15
14.5
19
25
24.5
25
20
20
15
15
15
20
20
20
20
20
20
20
20
20
20
20
20
10
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
12
20
20
20
