TRAS458,122.748667,83.103183
IRAS456,314.401669,85.015108
TRAS449,243.417327,62.070236
GEAS343,73.428723,34.601194
AMAS455,307.54769,85.020287
IRAS460,41.169,70.0947
TRAS352,295.808882,57.535409
TRAS459,241.26707,85.824698
GEAS478,49.051217,30
TRAS353,228.805982,81.457597
GEAS452,225.333225,85.9442
GEAS479,224.317704,85.021346
TRAS451,69.689579,58
ALAS993,221.541063,47.469919
ALAS992,329.653729,41.110181
BGAS991,77.465197,47.117239
YUAS990,289.064081,64.782012
ITAS989,240.154135,38.827062
DEAS988,152.120717,56.63345
NLAS987,139.202816,56.799337
TRAS984,68.91464,51.599494
GRAS976,288.026209,41.811018
GRAS973,66.499139,67.476584
